Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,INDIANA,18,SOUTH CENTRAL,80,HARRISON,61,30400.00
2018,INDIANA,18,CENTRAL,50,HENDRICKS,63,30400.00
2018,INDIANA,18,EAST CENTRAL,60,HENRY,65,30400.00
2018,INDIANA,18,CENTRAL,50,HOWARD,67,30400.00
2018,INDIANA,18,NORTHEAST,30,HUNTINGTON,69,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,JACKSON,71,30400.00
2018,INDIANA,18,NORTHWEST,10,JASPER,73,30400.00
2018,INDIANA,18,EAST CENTRAL,60,JAY,75,30400.00
2018,INDIANA,18,SOUTHEAST,90,JEFFERSON,77,30400.00
2018,INDIANA,18,SOUTHEAST,90,JENNINGS,79,30400.00
2018,INDIANA,18,SOUTHWEST,70,KNOX,83,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,KOSCIUSKO,85,30400.00
2018,INDIANA,18,NORTHEAST,30,LAGRANGE,87,30400.00
2018,INDIANA,18,NORTHWEST,10,LA PORTE,91,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,LAWRENCE,93,30400.00
2018,INDIANA,18,CENTRAL,50,MADISON,95,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,30400.00
2018,INDIANA,18,SOUTHWEST,70,MARTIN,101,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,MIAMI,103,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,MONROE,105,30400.00
2018,INDIANA,18,CENTRAL,50,MORGAN,109,30400.00
2018,INDIANA,18,NORTHWEST,10,NEWTON,111,30400.00
2018,INDIANA,18,NORTHEAST,30,NOBLE,113,30400.00
2018,INDIANA,18,SOUTHEAST,90,OHIO,115,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,ORANGE,117,30400.00
2018,INDIANA,18,WEST CENTRAL,40,OWEN,119,30400.00
2018,INDIANA,18,WEST CENTRAL,40,PARKE,121,30400.00
2018,INDIANA,18,NORTHWEST,10,PORTER,127,30400.00
2018,INDIANA,18,SOUTHWEST,70,POSEY,129,30400.00
2018,INDIANA,18,NORTHWEST,10,PULASKI,131,30400.00
2018,INDIANA,18,WEST CENTRAL,40,PUTNAM,133,30400.00
2018,INDIANA,18,EAST CENTRAL,60,RANDOLPH,135,30400.00
2018,INDIANA,18,SOUTHEAST,90,RIPLEY,137,30400.00
2018,INDIANA,18,CENTRAL,50,RUSH,139,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,ST. JOSEPH,141,30400.00
2018,INDIANA,18,SOUTHEAST,90,SCOTT,143,30400.00
2018,INDIANA,18,CENTRAL,50,SHELBY,145,30400.00
2018,INDIANA,18,NORTHEAST,30,STEUBEN,151,30400.00
2018,INDIANA,18,SOUTHWEST,70,SULLIVAN,153,30400.00
2018,INDIANA,18,SOUTHEAST,90,SWITZERLAND,155,30400.00
2018,INDIANA,18,WEST CENTRAL,40,TIPPECANOE,157,30400.00
2018,INDIANA,18,CENTRAL,50,TIPTON,159,30400.00
2018,INDIANA,18,EAST CENTRAL,60,UNION,161,30400.00
2018,INDIANA,18,SOUTHWEST,70,VANDERBURGH,163,30400.00
2018,INDIANA,18,WEST CENTRAL,40,VERMILLION,165,30400.00
2018,INDIANA,18,WEST CENTRAL,40,VIGO,167,30400.00
2018,INDIANA,18,NORTH CENTRAL,20,WABASH,169,30400.00
2018,INDIANA,18,WEST CENTRAL,40,WARREN,171,30400.00
2018,INDIANA,18,SOUTHWEST,70,WARRICK,173,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,WASHINGTON,175,30400.00
2018,INDIANA,18,EAST CENTRAL,60,WAYNE,177,30400.00
2018,INDIANA,18,NORTHEAST,30,WELLS,179,30400.00
2018,INDIANA,18,NORTHWEST,10,WHITE,181,30400.00
2018,INDIANA,18,NORTHEAST,30,WHITLEY,183,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,BROWN,13,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,CRAWFORD,25,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,FLOYD,43,30400.00
2018,INDIANA,18,WEST CENTRAL,40,FOUNTAIN,45,30400.00
2018,INDIANA,18,CENTRAL,50,JOHNSON,81,30400.00
2018,INDIANA,18,NORTHWEST,10,LAKE,89,30400.00
2018,INDIANA,18,CENTRAL,50,MARION,97,30400.00
2018,INDIANA,18,WEST CENTRAL,40,MONTGOMERY,107,30400.00
2018,INDIANA,18,SOUTH CENTRAL,80,PERRY,123,30400.00
2018,INDIANA,18,SOUTHWEST,70,PIKE,125,30400.00
2018,INDIANA,18,SOUTHWEST,70,SPENCER,147,30400.00
2018,INDIANA,18,NORTHWEST,10,STARKE,149,30400.00
2018,IOWA,19,SOUTHWEST,70,ADAIR,1,31100.00
2018,IOWA,19,SOUTHWEST,70,ADAMS,3,31100.00
2018,IOWA,19,NORTHEAST,30,ALLAMAKEE,5,31100.00
2018,IOWA,19,WEST CENTRAL,40,AUDUBON,9,31100.00
2018,IOWA,19,EAST CENTRAL,60,BENTON,11,31100.00
2018,IOWA,19,NORTHEAST,30,BLACK HAWK,13,31100.00
2018,IOWA,19,CENTRAL,50,BOONE,15,31100.00
2018,IOWA,19,NORTHEAST,30,BREMER,17,31100.00
2018,IOWA,19,NORTHEAST,30,BUCHANAN,19,31100.00
2018,IOWA,19,NORTHWEST,10,BUENA VISTA,21,31100.00
2018,IOWA,19,NORTH CENTRAL,20,BUTLER,23,31100.00
2018,IOWA,19,WEST CENTRAL,40,CALHOUN,25,31100.00
2018,IOWA,19,WEST CENTRAL,40,CARROLL,27,31100.00
2018,IOWA,19,SOUTHWEST,70,CASS,29,31100.00
2018,IOWA,19,EAST CENTRAL,60,CEDAR,31,31100.00
2018,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,31100.00
2018,IOWA,19,NORTHWEST,10,CHEROKEE,35,31100.00
2018,IOWA,19,NORTHEAST,30,CHICKASAW,37,31100.00
2018,IOWA,19,SOUTH CENTRAL,80,CLARKE,39,31100.00
2018,IOWA,19,NORTHWEST,10,CLAY,41,31100.00
2018,IOWA,19,NORTHEAST,30,CLAYTON,43,31100.00
2018,IOWA,19,EAST CENTRAL,60,CLINTON,45,31100.00
2018,IOWA,19,WEST CENTRAL,40,CRAWFORD,47,31100.00
2018,IOWA,19,CENTRAL,50,DALLAS,49,31100.00
2018,IOWA,19,SOUTH CENTRAL,80,DECATUR,53,31100.00
2018,IOWA,19,NORTHEAST,30,DELAWARE,55,31100.00
2018,IOWA,19,SOUTHEAST,90,DES MOINES,57,31100.00
2018,IOWA,19,NORTHWEST,10,DICKINSON,59,31100.00
2018,IOWA,19,NORTHEAST,30,DUBUQUE,61,31100.00
2018,IOWA,19,NORTHWEST,10,EMMET,63,31100.00
2018,IOWA,19,NORTHEAST,30,FAYETTE,65,31100.00
2018,IOWA,19,NORTH CENTRAL,20,FLOYD,67,31100.00
2018,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,31100.00
