Year,Period(0),State ANSI,Value
1992,YEAR,19,147
1992,YEAR - AUG FORECAST,17,130
1992,YEAR - AUG FORECAST,18,130
1992,YEAR - AUG FORECAST,19,131
1992,YEAR - NOV FORECAST,17,145
1992,YEAR - NOV FORECAST,18,143
1992,YEAR - NOV FORECAST,19,145
1992,YEAR - OCT FORECAST,17,134
1992,YEAR - OCT FORECAST,18,133
1992,YEAR - OCT FORECAST,19,135
1992,YEAR - SEP FORECAST,17,130
1992,YEAR - SEP FORECAST,18,130
1992,YEAR - SEP FORECAST,19,131
1991,YEAR,17,107
1991,YEAR,18,92
1991,YEAR,19,117
1991,YEAR - AUG FORECAST,17,105
1991,YEAR - AUG FORECAST,18,98
1991,YEAR - AUG FORECAST,19,112
1991,YEAR - NOV FORECAST,17,110
1991,YEAR - NOV FORECAST,18,94
1991,YEAR - NOV FORECAST,19,117
1991,YEAR - OCT FORECAST,17,110
1991,YEAR - OCT FORECAST,18,94
1991,YEAR - OCT FORECAST,19,117
1991,YEAR - SEP FORECAST,17,105
1991,YEAR - SEP FORECAST,18,93
1991,YEAR - SEP FORECAST,19,112
1990,YEAR,17,127
1990,YEAR,18,129
1990,YEAR,19,126
1990,YEAR - AUG FORECAST,17,128
1990,YEAR - AUG FORECAST,18,128
1990,YEAR - AUG FORECAST,19,128
1990,YEAR - NOV FORECAST,17,127
1990,YEAR - NOV FORECAST,18,130
1990,YEAR - NOV FORECAST,19,129
1990,YEAR - OCT FORECAST,17,130
1990,YEAR - OCT FORECAST,18,132
1990,YEAR - OCT FORECAST,19,133
1990,YEAR - SEP FORECAST,17,134
1990,YEAR - SEP FORECAST,18,132
1990,YEAR - SEP FORECAST,19,135
1989,YEAR,17,123
1989,YEAR,18,133
1989,YEAR,19,118
1989,YEAR - AUG FORECAST,17,124
1989,YEAR - AUG FORECAST,18,123
1989,YEAR - AUG FORECAST,19,110
1989,YEAR - NOV FORECAST,17,124
1989,YEAR - NOV FORECAST,18,134
1989,YEAR - NOV FORECAST,19,119
1989,YEAR - OCT FORECAST,17,122
1989,YEAR - OCT FORECAST,18,130
1989,YEAR - OCT FORECAST,19,114
1989,YEAR - SEP FORECAST,17,122
1989,YEAR - SEP FORECAST,18,128
1989,YEAR - SEP FORECAST,19,108
1988,YEAR,17,73
1988,YEAR,18,83
1988,YEAR,19,84
1988,YEAR - AUG FORECAST,17,70
1988,YEAR - AUG FORECAST,18,70
1988,YEAR - AUG FORECAST,19,80
1988,YEAR - NOV FORECAST,17,72
1988,YEAR - NOV FORECAST,18,78
1988,YEAR - NOV FORECAST,19,83
1988,YEAR - OCT FORECAST,17,70
1988,YEAR - OCT FORECAST,18,74
1988,YEAR - OCT FORECAST,19,82
1988,YEAR - SEP FORECAST,17,70
1988,YEAR - SEP FORECAST,18,74
1988,YEAR - SEP FORECAST,19,78
1987,YEAR,17,132
1987,YEAR,18,135
1987,YEAR,19,130
1987,YEAR - AUG FORECAST,17,132
1987,YEAR - AUG FORECAST,18,135
1987,YEAR - AUG FORECAST,19,133
1987,YEAR - NOV FORECAST,17,132
1987,YEAR - NOV FORECAST,18,135
1987,YEAR - NOV FORECAST,19,133
1987,YEAR - OCT FORECAST,17,132
1987,YEAR - OCT FORECAST,18,135
1987,YEAR - OCT FORECAST,19,133
1987,YEAR - SEP FORECAST,17,132
1987,YEAR - SEP FORECAST,18,135
1987,YEAR - SEP FORECAST,19,133
1986,YEAR,17,135
1986,YEAR,18,122
1986,YEAR,19,135
1986,YEAR - AUG FORECAST,17,142
1986,YEAR - AUG FORECAST,18,132
1986,YEAR - AUG FORECAST,19,135
1986,YEAR - NOV FORECAST,17,138
1986,YEAR - NOV FORECAST,18,124
1986,YEAR - NOV FORECAST,19,135
1986,YEAR - OCT FORECAST,17,138
1986,YEAR - OCT FORECAST,18,127
1986,YEAR - OCT FORECAST,19,135
1986,YEAR - SEP FORECAST,17,138
1986,YEAR - SEP FORECAST,18,129
1986,YEAR - SEP FORECAST,19,135
1985,YEAR,17,135
1985,YEAR,18,123
1985,YEAR,19,126
1985,YEAR - AUG FORECAST,17,127
1985,YEAR - AUG FORECAST,18,115
1985,YEAR - AUG FORECAST,19,115
1985,YEAR - NOV FORECAST,17,134
1985,YEAR - NOV FORECAST,18,124
1985,YEAR - NOV FORECAST,19,125
1985,YEAR - OCT FORECAST,17,131
1985,YEAR - OCT FORECAST,18,124
1985,YEAR - OCT FORECAST,19,122
1985,YEAR - SEP FORECAST,17,129
1985,YEAR - SEP FORECAST,18,123
1985,YEAR - SEP FORECAST,19,118
1984,YEAR,17,114
1984,YEAR,18,117
1984,YEAR,19,112
1984,YEAR - AUG FORECAST,17,119
1984,YEAR - AUG FORECAST,18,112
1984,YEAR - AUG FORECAST,19,122
1984,YEAR - NOV FORECAST,17,113
1984,YEAR - NOV FORECAST,18,115
1984,YEAR - NOV FORECAST,19,113
1984,YEAR - OCT FORECAST,17,113
1984,YEAR - OCT FORECAST,18,114
1984,YEAR - OCT FORECAST,19,113
1984,YEAR - SEP FORECAST,17,116
1984,YEAR - SEP FORECAST,18,114
1984,YEAR - SEP FORECAST,19,115
1983,YEAR,17,79
1983,YEAR,18,73
1983,YEAR,19,87
1983,YEAR - AUG FORECAST,17,102
1983,YEAR - AUG FORECAST,18,92
1983,YEAR - AUG FORECAST,19,114
1983,YEAR - NOV FORECAST,17,80
1983,YEAR - NOV FORECAST,18,70
1983,YEAR - NOV FORECAST,19,85
1983,YEAR - OCT FORECAST,17,80
1983,YEAR - OCT FORECAST,18,74
1983,YEAR - OCT FORECAST,19,89
1983,YEAR - SEP FORECAST,17,78
1983,YEAR - SEP FORECAST,18,75
1983,YEAR - SEP FORECAST,19,90
1982,YEAR,17,131
1982,YEAR,18,126
1982,YEAR,19,120
1982,YEAR - AUG FORECAST,17,136
1982,YEAR - AUG FORECAST,18,125
1982,YEAR - AUG FORECAST,19,122
1982,YEAR - NOV FORECAST,17,135
1982,YEAR - NOV FORECAST,18,129
1982,YEAR - NOV FORECAST,19,122
1982,YEAR - OCT FORECAST,17,135
1982,YEAR - OCT FORECAST,18,125
1982,YEAR - OCT FORECAST,19,124
1982,YEAR - SEP FORECAST,17,136
1982,YEAR - SEP FORECAST,18,125
1982,YEAR - SEP FORECAST,19,124
1981,YEAR,17,126
1981,YEAR,18,108
1981,YEAR,19,125
1981,YEAR - AUG FORECAST,17,120
1981,YEAR - AUG FORECAST,18,94
1981,YEAR - AUG FORECAST,19,125
1981,YEAR - NOV FORECAST,17,130
1981,YEAR - NOV FORECAST,18,108
1981,YEAR - NOV FORECAST,19,128
1981,YEAR - OCT FORECAST,17,129
1981,YEAR - OCT FORECAST,18,106
1981,YEAR - OCT FORECAST,19,128
1981,YEAR - SEP FORECAST,17,127
1981,YEAR - SEP FORECAST,18,100
1981,YEAR - SEP FORECAST,19,127
1980,YEAR,17,93
1980,YEAR,18,96
1980,YEAR,19,110
1980,YEAR - AUG FORECAST,17,108
1980,YEAR - AUG FORECAST,18,98
1980,YEAR - AUG FORECAST,19,108
1980,YEAR - NOV FORECAST,17,94
1980,YEAR - NOV FORECAST,18,96
1980,YEAR - NOV FORECAST,19,110
1980,YEAR - OCT FORECAST,17,94
1980,YEAR - OCT FORECAST,18,96
1980,YEAR - OCT FORECAST,19,109
1980,YEAR - SEP FORECAST,17,100
1980,YEAR - SEP FORECAST,18,96
1980,YEAR - SEP FORECAST,19,108
1979,YEAR,17,127
1979,YEAR,18,112
1979,YEAR,19,127
1979,YEAR - AUG FORECAST,19,114
1979,YEAR - NOV FORECAST,19,125
1979,YEAR - OCT FORECAST,19,119
1979,YEAR - SEP FORECAST,19,117
1978,YEAR,17,111
1978,YEAR,18,108
1978,YEAR,19,115
1978,YEAR - AUG FORECAST,19,109
1978,YEAR - NOV FORECAST,19,117
1978,YEAR - OCT FORECAST,19,115
1978,YEAR - SEP FORECAST,19,115
1977,YEAR,17,105
1977,YEAR,18,102
1977,YEAR,19,86
1977,YEAR - AUG FORECAST,19,85
1977,YEAR - NOV FORECAST,19,88
1977,YEAR - OCT FORECAST,19,87
1977,YEAR - SEP FORECAST,19,86
1976,YEAR,17,107
1976,YEAR,18,110
1976,YEAR,19,91
1976,YEAR - AUG FORECAST,19,93
1976,YEAR - NOV FORECAST,19,89
1976,YEAR - OCT FORECAST,19,85
1976,YEAR - SEP FORECAST,19,85
1975,YEAR,17,116
1975,YEAR,18,98
1975,YEAR,19,90
1975,YEAR - AUG FORECAST,19,91
1975,YEAR - NOV FORECAST,19,92
1975,YEAR - OCT FORECAST,19,89
1975,YEAR - SEP FORECAST,19,86
1974,YEAR,17,82
1974,YEAR,18,73
1974,YEAR,19,80
1974,YEAR - AUG FORECAST,19,85
1974,YEAR - NOV FORECAST,19,81
1974,YEAR - OCT FORECAST,19,82
1974,YEAR - SEP FORECAST,19,88
1973,YEAR,17,103
1973,YEAR,18,102
1973,YEAR,19,107
1973,YEAR - AUG FORECAST,19,106
1973,YEAR - NOV FORECAST,19,109
1973,YEAR - OCT FORECAST,19,110
1973,YEAR - SEP FORECAST,19,110
1972,YEAR,17,110
1972,YEAR,18,104
1972,YEAR,19,116
1972,YEAR - AUG FORECAST,19,103
1972,YEAR - NOV FORECAST,19,115
