Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Value
2018,INDIANA,18,SOUTH CENTRAL,80,FLOYD,43,20300.00
2018,INDIANA,18,WEST CENTRAL,40,FOUNTAIN,45,203000.00
2018,INDIANA,18,CENTRAL,50,JOHNSON,81,44000.00
2018,INDIANA,18,NORTHWEST,10,LAKE,89,107000.00
2018,INDIANA,18,CENTRAL,50,MARION,97,44000.00
2018,INDIANA,18,WEST CENTRAL,40,MONTGOMERY,107,203000.00
2018,INDIANA,18,SOUTH CENTRAL,80,PERRY,123,20300.00
2018,INDIANA,18,SOUTHWEST,70,PIKE,125,85000.00
2018,INDIANA,18,SOUTHWEST,70,SPENCER,147,85000.00
2018,INDIANA,18,NORTHWEST,10,STARKE,149,107000.00
2018,IOWA,19,SOUTHWEST,70,ADAIR,1,108500.00
2018,IOWA,19,SOUTHWEST,70,ADAMS,3,71000.00
2018,IOWA,19,NORTHEAST,30,ALLAMAKEE,5,93500.00
2018,IOWA,19,WEST CENTRAL,40,AUDUBON,9,111500.00
2018,IOWA,19,EAST CENTRAL,60,BENTON,11,191500.00
2018,IOWA,19,NORTHEAST,30,BLACK HAWK,13,146500.00
2018,IOWA,19,CENTRAL,50,BOONE,15,154500.00
2018,IOWA,19,NORTHEAST,30,BREMER,17,124000.00
2018,IOWA,19,NORTHEAST,30,BUCHANAN,19,189500.00
2018,IOWA,19,NORTHWEST,10,BUENA VISTA,21,164000.00
2018,IOWA,19,NORTH CENTRAL,20,BUTLER,23,165500.00
2018,IOWA,19,WEST CENTRAL,40,CALHOUN,25,172000.00
2018,IOWA,19,WEST CENTRAL,40,CARROLL,27,183000.00
2018,IOWA,19,SOUTHWEST,70,CASS,29,128000.00
2018,IOWA,19,EAST CENTRAL,60,CEDAR,31,154500.00
2018,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,162500.00
2018,IOWA,19,NORTHWEST,10,CHEROKEE,35,148000.00
2018,IOWA,19,NORTHEAST,30,CHICKASAW,37,148500.00
2018,IOWA,19,SOUTH CENTRAL,80,CLARKE,39,32900.00
